"","A","B-1","B-2","C","D","E","F","G","H","I-1","I-2"
"SLC13A4","","CDK5R2","","DNAH12","CCL2","C20orf166-AS1","CSF3","C1QTNF9B","","",""
"AC008060.7","","SPHKAP","","CFAP100","HAMP","CLIC6","SOCS3","ANKRD20A19P","","",""
"RP5-912I13.1","","SYN2","","RP11-203H19.2","NAPSB","CABP7","PCK1","PCDH20","","",""
"CCL19","","DCLK3","","DTHD1","FPR1","MPPED1","SLCO4A1","ONECUT2","","",""
"BX255923.3","","GRM2","","IGFBP7-AS1","VSIG4","","CH507-42P11.8","GRP","","",""
"ADARB2-AS1","","SYNPR","","C4orf22","","","LIF","","","",""
"EGR2","","CPNE4","","TTC29","","","","","","",""
"HBB","","SST","","ROPN1L","","","","","","",""
"HBD","","NWD2","","CAPSL","","","","","","",""
"SLC17A6","","EPHA5","","FAM81B","","","","","","",""
"NPAS4","","TMEM155","","SLC27A6","","","","","","",""
"NR4A1","","RXFP1","","ADGB","","","","","","",""
"TESPA1","","CDH9","","DNAH11","","","","","","",""
"WIF1","","HCN1","","C7orf57","","","","","","",""
"RP11-298I3.6","","HTR1A","","CD36","","","","","","",""
"IGHA1","","ENC1","","EFCAB1","","","","","","",""
"IGHG1","","PCSK1","","MAPK15","","","","","","",""
"TRPM1","","SLC6A7","","DNAI1","","","","","","",""
"CHRM5","","GABRB2","","FAM166B","","","","","","",""
"HBA2","","GABRA1","","WDR38","","","","","","",""
"HBA1","","GABRG2","","CFAP157","","","","","","",""
"NPIPB2","","FAM153B","","CFAP77","","","","","","",""
"RP11-958N24.2","","RGS14","","SPAG6","","","","","","",""
"NPIPB15","","LY86-AS1","","ARMC3","","","","","","",""
"ADAMTS18","","KCNQ5","","DYDC2","","","","","","",""
"ALOX15B","","MAS1","","DCDC1","","","","","","",""
"RPL13P12","","SOSTDC1","","AGBL2","","","","","","",""
"USP32P2","","NEUROD6","","FOLR1","","","","","","",""
"CCL4","","DLX6-AS1","","C11orf88","","","","","","",""
"CCL4L2","","TAC1","","PZP","","","","","","",""
"TBC1D3L","","VGF","","RASSF9","","","","","","",""
"KRT13","","HTR5A-AS1","","NTS","","","","","","",""
"KRT17","","HTR5A","","DAO","","","","","","",""
"MAPK8IP1P2","","RP11-87E22.2","","CFAP73","","","","","","",""
"NGFR","","NEFM","","CCDC60","","","","","","",""
"TTR","","NEFL","","STOML3","","","","","","",""
"FOSB","","ZMAT4","","FAM216B","","","","","","",""
"CBSL","","PENK","","RP11-356K23.1","","","","","","",""
"CH507-513H4.5","","BHLHE22","","CCDC33","","","","","","",""
"CH507-513H4.3","","CALB1","","CFAP161","","","","","","",""
"SIK1","","KCNS2","","DNAH3","","","","","","",""
"PWP2","","KB-1517D11.4","","VWA3A","","","","","","",""
"C21orf33","","KCNV1","","MYLK3","","","","","","",""
"ICOSLG","","ELAVL2","","RP11-467J12.4","","","","","","",""
"AP000350.5","","GDA","","FAM92B","","","","","","",""
"GPX1P1","","FAM163B","","TEKT1","","","","","","",""
"ALAS2","","PTER","","CFAP52","","","","","","",""
"","","C1QL3","","SLC47A2","","","","","","",""
"","","GAD2","","LRRC46","","","","","","",""
"","","TH","","DNAI2","","","","","","",""
"","","NRIP3","","FOXJ1","","","","","","",""
"","","BDNF","","CCDC114","","","","","","",""
"","","SYT13","","DNAAF3","","","","","","",""
"","","CNTN5","","LRRC74B","","","","","","",""
"","","C11orf87","","ODF3B","","","","","","",""
"","","CLMP","","CFAP47","","","","","","",""
"","","SCN3B","","","","","","","","",""
"","","LRTM2","","","","","","","","",""
"","","STYK1","","","","","","","","",""
"","","NELL2","","","","","","","","",""
"","","TRHDE","","","","","","","","",""
"","","SYT1","","","","","","","","",""
"","","SVOP","","","","","","","","",""
"","","POSTN","","","","","","","","",""
"","","PCDH8","","","","","","","","",""
"","","RP6-91H8.5","","","","","","","","",""
"","","CHGA","","","","","","","","",""
"","","GABRA5","","","","","","","","",""
"","","UNC13C","","","","","","","","",""
"","","ALDH1A2","","","","","","","","",""
"","","CRYM","","","","","","","","",""
"","","HS3ST4","","","","","","","","",""
"","","CNGB1","","","","","","","","",""
"","","RP11-416I2.1","","","","","","","","",""
"","","SLC47A1","","","","","","","","",""
"","","CDRT15L2","","","","","","","","",""
"","","NPTX1","","","","","","","","",""
"","","RP11-805F19.3","","","","","","","","",""
"","","SYT4","","","","","","","","",""
"","","ICAM5","","","","","","","","",""
"","","ATP1A3","","","","","","","","",""
"","","SLC17A7","","","","","","","","",""
"","","KLK7","","","","","","","","",""
"","","PRKCG","","","","","","","","",""
"","","PDYN","","","","","","","","",""
"","","ADRA1D","","","","","","","","",""
"","","CHGB","","","","","","","","",""
"","","SLC32A1","","","","","","","","",""
"","","RP1-269M15.3","","","","","","","","",""
"","","SLC12A5","","","","","","","","",""
"","","CBLN4","","","","","","","","",""
"","","NEFH","","","","","","","","",""
"","","PVALB","","","","","","","","",""
"","","GABRQ","","","","","","","","",""
"","","PNMA5","","","","","","","","",""
"","","LL0XNC01-16G2.1","","","","","","","","",""
"","","","","","","","","","","",""
