"","A","B","C","D","E","F"
"","","LINC00935","","","",""
"","","RP11-70F11.8","","","",""
"","","FAM186A","","","",""
"","","LINC01490","","","",""
"","","RP11-543H12.1","","","",""
"","","RP11-162N7.1","","","",""
"","","RP5-944M2.3","","","",""
"","","RP11-526P6.1","","","",""
"","","RP11-669N7.3","","","",""
"","","LINC00544","","","",""
"","","LINC00384","","","",""
"","","CCDC70","","","",""
"","","LINC00558","","","",""
"","","LINC00560","","","",""
"","","CCDC168","","","",""
"","","LINC01043","","","",""
"","","RNASE11","","","",""
"","","RP11-14J7.6","","","",""
"","","RP11-219E7.2","","","",""
"","","FSCB","","","",""
"","","RP11-286O18.1","","","",""
"","","RP11-452D21.2","","","",""
"","","RP11-353P15.1","","","",""
"","","C14orf177","","","",""
"","","RP11-168L7.3","","","",""
"","","LINC00929","","","",""
"","","AC011196.3","","","",""
"","","RP11-624L4.2","","","",""
"","","TGM7","","","",""
"","","CTD-2647E9.3","","","",""
"","","LINC00593","","","",""
"","","RP11-210M15.1","","","",""
"","","RP11-895K13.2","","","",""
"","","TNP2","","","",""
"","","PRM2","","","",""
"","","PRM1","","","",""
"","","RP11-165M1.3","","","",""
"","","C16orf78","","","",""
"","","RP11-21B23.3","","","",""
"","","LINC02127","","","",""
"","","LINC01568","","","",""
"","","LINC01227","","","",""
"","","RP11-805I24.1","","","",""
"","","RP11-805I24.3","","","",""
"","","RP11-960B9.2","","","",""
"","","FBXO39","","","",""
"","","C17orf74","","","",""
"","","TBC1D3P5","","","",""
"","","LINC01989","","","",""
"","","FNDC8","","","",""
"","","LINC00854","","","",""
"","","SPPL2C","","","",""
"","","PHOSPHO1","","","",""
"","","FLJ40194","","","",""
"","","PRKCA-AS1","","","",""
"","","LINC02003","","","",""
"","","CTD-2006K23.1","","","",""
"","","CEP295NL","","","",""
"","","DSG1-AS1","","","",""
"","","RP11-797E24.3","","","",""
"","","ODF3L2","","","",""
"","","AC010649.1","","","",""
"","","ACTL9","","","",""
"","","MBD3L1","","","",""
"","","CCDC105","","","",""
